station_id_aq,longitude,latitude,D1,D2,D3,api_key
yufa_aq,116.3,39.52,NA,9,NA,87a7baf29aa10d6a3438a9cd4c048b12
liulihe_aq,116,39.58,NA,10,NA,2199a997565e9b33fb65bc2b3b3dece3
qianmen_aq,116.395,39.899,NA,1,NA,7b82dddbe703d0540bf205be4a868d0d
yongdingmennei_aq,116.394,39.876,NA,2,NA,c4530e3afccfa4ea8e97ed3813a90d9b
xizhimenbei_aq,116.349,39.954,NA,3,NA,8ce67c71c6d067fe673af36d93c0427b
nansanhuan_aq,116.368,39.856,NA,4,NA,dd4e6823a927e1d7e38784e4701423f8
dongsihuan_aq,116.483,39.939,NA,5,NA,77af6ae08cf9d6d3a108c10fc432de8b
BX9,0.184877127,51.46598327,NA,6,NA,9f48e5e5526cdcdb5f89d97c86750022
BX1,0.184877127,51.46598327,NA,7,NA,7402ea701933e22516afb3180944e759
BL0,-0.125848,51.522287,NA,8,NA,76e81e0fb5a26bf3ccfda67100e9836b
CD9,-0.129053205,51.52770662,NA,9,NA,87a7baf29aa10d6a3438a9cd4c048b12
CD1,-0.175284,51.544219,NA,10,NA,2199a997565e9b33fb65bc2b3b3dece3
CT2,-0.104515626,51.51452534,NA,NA,1,7b82dddbe703d0540bf205be4a868d0d
CT3,-0.077765682,51.51384718,NA,NA,2,c4530e3afccfa4ea8e97ed3813a90d9b
CR8,-0.127523,51.410039,NA,NA,3,8ce67c71c6d067fe673af36d93c0427b
GN0,0.074003,51.490532,NA,NA,4,dd4e6823a927e1d7e38784e4701423f8
GR4,0.070766,51.45258,NA,NA,5,77af6ae08cf9d6d3a108c10fc432de8b
GN3,0.095111,51.486957,NA,NA,6,9f48e5e5526cdcdb5f89d97c86750022
GR9,0.040725,51.456357,NA,NA,7,7402ea701933e22516afb3180944e759
GB0,0.085606,51.4563,NA,NA,8,76e81e0fb5a26bf3ccfda67100e9836b
HR1,-0.298775,51.617327,NA,NA,9,87a7baf29aa10d6a3438a9cd4c048b12
HV1,0.205460706,51.52078746,NA,NA,10,2199a997565e9b33fb65bc2b3b3dece3
LH0,-0.441627,51.48878,NA,NA,1,7b82dddbe703d0540bf205be4a868d0d
KC1,-0.21349214,51.521046749999996,NA,NA,2,c4530e3afccfa4ea8e97ed3813a90d9b
KF1,-0.21349214,51.521046749999996,NA,NA,3,8ce67c71c6d067fe673af36d93c0427b
LW2,-0.039641,51.474954,NA,NA,4,dd4e6823a927e1d7e38784e4701423f8
RB7,0.082907475,51.56948433,NA,NA,5,77af6ae08cf9d6d3a108c10fc432de8b
TD5,-0.345608291,51.42525604,NA,NA,6,9f48e5e5526cdcdb5f89d97c86750022
ST5,-0.141661525,51.3892869,NA,NA,7,7402ea701933e22516afb3180944e759
TH4,-0.008418493,51.51504617,NA,NA,8,76e81e0fb5a26bf3ccfda67100e9836b
MY7,-0.15459,51.52254,NA,NA,9,87a7baf29aa10d6a3438a9cd4c048b12
